ano_avaliacao,codigo_uf,sigla_uf,codigo_municipio,nome_municipio,id_aluno,id_escola,tipo_serie,tipo_dependencia,presenca_lp,preenchimento_lp,codigo_caderno_lp,peso_aluno_lp,proficiencia_lp,alfabetizado_oficial,alfabetizado_calculado_743,divergencia_indicador_743
2024,31,MG,3119955,Córrego Fundo,31136862,60021275,2,3,1,1,5,1.07,801.24,1,1,0
2024,24,RN,2408102,Natal,24004269,60010114,2,3,1,1,18,1.27,751.47,1,1,0
2024,25,PB,2515302,Sapé,25017200,60010962,2,3,1,1,2,1.1,674.74,0,0,0
2024,42,SC,4209102,Joinville,42051866,60034809,2,3,1,1,14,1.5,773.11,1,1,0
2024,23,CE,2304400,Fortaleza,23038517,60009206,2,3,1,1,16,1.0,769.8,1,1,0
2024,35,SP,3552403,Sumaré,35215377,60026551,2,2,1,1,21,1.0434783,742.2421211,0,0,0
2024,35,SP,3550308,São Paulo,35440626,60031467,2,2,1,1,4,1.0344828,728.8504137,0,0,0
2024,42,SC,4202404,Blumenau,42007941,60034722,2,2,1,1,21,1.68,741.85,0,0,0
2024,41,PR,4100400,Almirante Tamandaré,41113770,60033333,2,3,1,1,8,1.12,634.0,0,0,0
2024,35,SP,3530607,Mogi das Cruzes,35298826,60031161,2,3,1,1,8,1.08,780.3255004,1,1,0
2024,23,CE,2304301,Farias Brito,23012107,60008715,2,3,1,1,17,1.0,832.54,1,1,0
2024,29,BA,2921104,Medeiros Neto,29152885,60016974,2,3,1,1,10,1.0,785.27,1,1,0
2024,35,SP,3549805,São José do Rio Preto,35183783,60028649,2,3,1,1,5,1.1818182,808.3708718,1,1,0
2024,27,AL,2704302,Maceió,27017304,60013897,2,3,1,1,19,1.21,779.05,1,1,0
2024,29,BA,2904605,Brumado,29026933,60017387,2,3,1,1,11,1.0,728.29,0,0,0
2024,24,RN,2400703,Alto do Rodrigues,24024699,60009609,2,3,1,1,16,1.09,793.7,1,1,0
2024,33,RJ,3301009,Campos dos Goytacazes,33018755,60023227,2,3,1,1,12,1.29,688.55,0,0,0
2024,42,SC,4204301,Concórdia,42025032,60035095,2,2,1,1,8,1.15,787.52,1,1,0
2024,41,PR,4105706,Clevelândia,41123422,60034111,2,3,1,1,12,1.3,707.59,0,0,0
2024,28,SE,2803500,Lagarto,28007136,60014566,2,3,1,1,5,1.0,645.41,0,0,0
2024,29,BA,2927408,Salvador,29211677,60016137,2,3,1,1,15,1.0,709.48,0,0,0
2024,27,AL,2709301,União dos Palmares,27031475,60013522,2,3,1,1,17,1.14,795.79,1,1,0
2024,35,SP,3550308,São Paulo,35354556,60025906,2,2,1,1,5,1.0714286,712.7975097,0,0,0
2024,35,SP,3525904,Jundiaí,35106760,60028136,2,3,1,1,6,1.037037,791.8228781,1,1,0
2024,25,PB,2502151,Boa Vista,25021157,60010799,2,3,1,1,2,1.05,782.46,1,1,0
2024,33,RJ,3306305,Volta Redonda,33096647,60023659,2,3,1,1,16,1.18,748.33,1,1,0
2024,29,BA,2912905,Ibirataia,29091109,60016790,2,3,1,1,18,1.0,742.02,0,0,0
2024,31,MG,3159902,Santo Antônio do Amparo,31034176,60021513,2,3,1,1,6,1.0,751.85,1,1,0
2024,35,SP,3552205,Sorocaba,35212277,60030532,2,3,1,1,19,1.0344828,744.5888132,1,1,0
2024,11,RO,1100205,Porto Velho,11011391,60000255,2,3,1,1,20,1.32,762.09,1,1,0
2024,13,AM,1302603,Manaus,13028933,60001249,2,3,0,0,6,,,0,,
2024,23,CE,2307304,Juazeiro do Norte,23073502,60008818,2,3,1,1,13,1.0,819.85,1,1,0
2024,29,BA,2908507,Conceição do Jacuípe,29056548,60015202,2,3,1,1,2,1.0,705.06,0,0,0
2024,16,AP,1600600,Santana,16010158,60003836,2,3,1,1,4,1.11,750.76,1,1,0
2024,42,SC,4211900,Palhoça,42063950,60034485,2,2,0,0,15,,,0,,
2024,43,RS,4307807,Estrela,43044617,60039490,2,3,1,1,16,1.2,677.3622945,0,0,0
2024,51,MT,5108402,Várzea Grande,51046251,60040638,2,3,1,1,6,1.07,798.5,1,1,0
2024,31,MG,3162104,São Gotardo,31146290,60021091,2,3,1,1,16,1.11,775.58,1,1,0
2024,11,RO,1100452,Buritis,11020008,60000295,2,3,1,1,13,1.0,767.87,1,1,0
2024,27,AL,2707305,Porto Calvo,27025116,60013954,2,3,1,1,16,1.0,661.29,0,0,0
2024,42,SC,4215802,São Bento do Sul,42073424,60035651,2,3,1,1,6,1.42,724.57,0,0,0
2024,15,PA,1506807,Santarém,15069574,60002990,2,3,1,1,18,1.11,662.78,0,0,0
2024,35,SP,3548500,Santos,35168282,60028049,2,3,1,1,15,1.0,792.9270998,1,1,0
2024,31,MG,3170206,Uberlândia,31129734,60021787,2,3,1,1,18,1.3,765.13,1,1,0
2024,51,MT,5107909,Sinop,51029545,60040826,2,3,1,1,15,1.07,653.74,0,0,0
2024,21,MA,2111300,São Luís,21007170,60004415,2,3,1,1,2,1.09,715.1,0,0,0
2024,50,MS,5000203,Água Clara,50036632,60040000,2,3,1,1,16,1.09,743.17,1,1,0
2024,15,PA,1503309,Igarapé-Miri,15033998,60003121,2,3,1,1,19,1.12,798.61,1,1,0
2024,35,SP,3547809,Santo André,35313161,60027523,2,3,1,1,18,1.0454545,762.1648062,1,1,0
2024,33,RJ,3302254,Itatiaia,33072772,60023605,2,3,1,1,10,1.18,780.88,1,1,0
2024,24,RN,2408102,Natal,24028305,60010087,2,3,1,1,16,1.8,712.13,0,0,0
2024,35,SP,3522307,Itapetininga,35071459,60026281,2,2,1,1,15,1.0645161,828.9904186,1,1,0
2024,32,ES,3201308,Cariacica,32020996,60023017,2,3,1,1,6,1.05,734.55,0,0,0
2024,13,AM,1300029,Alvarães,13000081,60000714,2,2,1,1,18,1.03,775.54,1,1,0
2024,32,ES,3201308,Cariacica,32021317,60023093,2,3,1,1,10,1.23,782.37,1,1,0
2024,26,PE,2609600,Olinda,26030401,60012953,2,3,1,1,11,1.04,762.66,1,1,0
2024,16,AP,1600303,Macapá,16004114,60003794,2,3,1,1,6,1.07,644.44,0,0,0
2024,17,TO,1701051,Angico,17017789,60004088,2,3,1,1,4,1.13,754.09,1,1,0
2024,28,SE,2800308,Aracaju,28015585,60014324,2,2,1,1,6,1.24,742.05,0,0,0
2024,35,SP,3528809,Maracaí,35016250,60028931,2,3,1,1,3,1.1333333,839.1520726,1,1,0
2024,42,SC,4202909,Brusque,42013852,60035414,2,2,1,1,4,1.3,730.85,0,0,0
