codigo_uf,sigla_uf,codigo_municipio,nome_municipio,pct_alfabetizados,ano
0.0,SG_UF,0.0,NO_MUNICIPIO,,2023
0.0,SG_UF,0.0,NO_MUNICIPIO,,2024
11.0,RO,1100015.0,Alta Floresta D'Oeste,64.6,2023
11.0,RO,1100015.0,Alta Floresta D'Oeste,67.79,2024
11.0,RO,1100023.0,Ariquemes,62.3,2023
11.0,RO,1100023.0,Ariquemes,65.62,2024
11.0,RO,1100031.0,Cabixi,69.1,2023
11.0,RO,1100031.0,Cabixi,75.88,2024
11.0,RO,1100056.0,Cerejeiras,58.5,2023
11.0,RO,1100056.0,Cerejeiras,66.81,2024
11.0,RO,1100064.0,Colorado do Oeste,62.9,2023
11.0,RO,1100064.0,Colorado do Oeste,71.69,2024
11.0,RO,1100072.0,Corumbiara,58.2,2023
11.0,RO,1100072.0,Corumbiara,72.68,2024
11.0,RO,1100080.0,Costa Marques,80.7,2023
11.0,RO,1100080.0,Costa Marques,59.63,2024
11.0,RO,1100098.0,Espigão D'Oeste,85.3,2023
11.0,RO,1100098.0,Espigão D'Oeste,71.16,2024
11.0,RO,1100106.0,Guajará-Mirim,41.8,2023
11.0,RO,1100106.0,Guajará-Mirim,43.07,2024
11.0,RO,1100114.0,Jaru,62.8,2023
11.0,RO,1100114.0,Jaru,63.99,2024
11.0,RO,1100122.0,Ji-Paraná,81.8,2023
11.0,RO,1100122.0,Ji-Paraná,72.81,2024
11.0,RO,1100130.0,Machadinho D'Oeste,51.4,2023
11.0,RO,1100130.0,Machadinho D'Oeste,64.75,2024
11.0,RO,1100148.0,Nova Brasilândia D'Oeste,74.8,2023
11.0,RO,1100148.0,Nova Brasilândia D'Oeste,75.61,2024
11.0,RO,1100155.0,Ouro Preto do Oeste,72.4,2023
11.0,RO,1100155.0,Ouro Preto do Oeste,66.4,2024
11.0,RO,1100205.0,Porto Velho,65.1,2023
11.0,RO,1100205.0,Porto Velho,50.84,2024
11.0,RO,1100254.0,Presidente Médici,62.4,2023
11.0,RO,1100254.0,Presidente Médici,71.14,2024
11.0,RO,1100262.0,Rio Crespo,83.8,2023
11.0,RO,1100262.0,Rio Crespo,62.81,2024
11.0,RO,1100288.0,Rolim de Moura,68.8,2023
11.0,RO,1100288.0,Rolim de Moura,75.19,2024
11.0,RO,1100296.0,Santa Luzia D'Oeste,76.1,2023
11.0,RO,1100296.0,Santa Luzia D'Oeste,83.36,2024
11.0,RO,1100304.0,Vilhena,65.6,2023
11.0,RO,1100304.0,Vilhena,71.66,2024
11.0,RO,1100320.0,São Miguel do Guaporé,67.8,2023
11.0,RO,1100320.0,São Miguel do Guaporé,69.13,2024
11.0,RO,1100338.0,Nova Mamoré,63.0,2023
11.0,RO,1100338.0,Nova Mamoré,45.3,2024
11.0,RO,1100346.0,Alvorada D'Oeste,29.2,2023
11.0,RO,1100346.0,Alvorada D'Oeste,65.35,2024
11.0,RO,1100379.0,Alto Alegre dos Parecis,69.5,2023
11.0,RO,1100379.0,Alto Alegre dos Parecis,79.54,2024
11.0,RO,1100403.0,Alto Paraíso,61.5,2023
11.0,RO,1100403.0,Alto Paraíso,60.45,2024
11.0,RO,1100452.0,Buritis,49.8,2023
11.0,RO,1100452.0,Buritis,72.32000000000001,2024
11.0,RO,1100502.0,Novo Horizonte do Oeste,72.5,2023
11.0,RO,1100502.0,Novo Horizonte do Oeste,70.67,2024
11.0,RO,1100601.0,Cacaulândia,54.6,2023
11.0,RO,1100601.0,Cacaulândia,78.84,2024
11.0,RO,1100700.0,Campo Novo de Rondônia,59.3,2023
11.0,RO,1100700.0,Campo Novo de Rondônia,71.94,2024
11.0,RO,1100809.0,Candeias do Jamari,49.0,2023
11.0,RO,1100809.0,Candeias do Jamari,51.63,2024
11.0,RO,1100908.0,Castanheiras,70.1,2023
11.0,RO,1100908.0,Castanheiras,65.42,2024
11.0,RO,1100940.0,Cujubim,77.5,2023
11.0,RO,1100940.0,Cujubim,67.6,2024
11.0,RO,1101005.0,Governador Jorge Teixeira,65.1,2023
11.0,RO,1101005.0,Governador Jorge Teixeira,70.76,2024
11.0,RO,1101104.0,Itapuã do Oeste,98.8,2023
11.0,RO,1101104.0,Itapuã do Oeste,70.62,2024
11.0,RO,1101203.0,Ministro Andreazza,72.5,2023
11.0,RO,1101203.0,Ministro Andreazza,69.17,2024
11.0,RO,1101302.0,Mirante da Serra,59.2,2023
11.0,RO,1101302.0,Mirante da Serra,73.82000000000001,2024
11.0,RO,1101401.0,Monte Negro,72.2,2023
11.0,RO,1101401.0,Monte Negro,69.92,2024
11.0,RO,1101435.0,Nova União,60.7,2023
11.0,RO,1101435.0,Nova União,70.92,2024
11.0,RO,1101450.0,Parecis,61.0,2023
11.0,RO,1101450.0,Parecis,70.60000000000001,2024
11.0,RO,1101468.0,Pimenteiras do Oeste,54.8,2023
11.0,RO,1101468.0,Pimenteiras do Oeste,57.63,2024
11.0,RO,1101476.0,Primavera de Rondônia,86.1,2023
11.0,RO,1101476.0,Primavera de Rondônia,57.63,2024
11.0,RO,1101484.0,São Felipe D'Oeste,53.3,2023
11.0,RO,1101484.0,São Felipe D'Oeste,78.36,2024
11.0,RO,1101492.0,São Francisco do Guaporé,65.8,2023
11.0,RO,1101492.0,São Francisco do Guaporé,62.99,2024
11.0,RO,1101500.0,Seringueiras,63.0,2023
11.0,RO,1101500.0,Seringueiras,66.06,2024
11.0,RO,1101559.0,Teixeirópolis,72.0,2023
11.0,RO,1101559.0,Teixeirópolis,65.3,2024
11.0,RO,1101609.0,Theobroma,50.7,2023
11.0,RO,1101609.0,Theobroma,78.73,2024
11.0,RO,1101708.0,Urupá,70.9,2023
11.0,RO,1101708.0,Urupá,61.28,2024
11.0,RO,1101757.0,Vale do Anari,37.0,2023
11.0,RO,1101757.0,Vale do Anari,55.65,2024
11.0,RO,1101807.0,Vale do Paraíso,55.7,2023
11.0,RO,1101807.0,Vale do Paraíso,44.06,2024
12.0,AC,1200013.0,Acrelândia,,2023
12.0,AC,1200013.0,Acrelândia,59.69,2024
12.0,AC,1200054.0,Assis Brasil,,2023
12.0,AC,1200054.0,Assis Brasil,49.17,2024
12.0,AC,1200104.0,Brasiléia,,2023
12.0,AC,1200104.0,Brasiléia,46.68,2024
12.0,AC,1200138.0,Bujari,,2023
12.0,AC,1200138.0,Bujari,26.69,2024
12.0,AC,1200179.0,Capixaba,,2023
12.0,AC,1200179.0,Capixaba,34.97,2024
12.0,AC,1200203.0,Cruzeiro do Sul,,2023
12.0,AC,1200203.0,Cruzeiro do Sul,42.18,2024
12.0,AC,1200252.0,Epitaciolândia,,2023
12.0,AC,1200252.0,Epitaciolândia,52.28,2024
12.0,AC,1200302.0,Feijó,,2023
12.0,AC,1200302.0,Feijó,53.33,2024
12.0,AC,1200328.0,Jordão,,2023
12.0,AC,1200328.0,Jordão,19.59,2024
12.0,AC,1200336.0,Mâncio Lima,,2023
12.0,AC,1200336.0,Mâncio Lima,38.07,2024
12.0,AC,1200351.0,Marechal Thaumaturgo,,2023
12.0,AC,1200351.0,Marechal Thaumaturgo,62.82,2024
12.0,AC,1200385.0,Plácido de Castro,,2023
12.0,AC,1200385.0,Plácido de Castro,33.78,2024
12.0,AC,1200393.0,Porto Walter,,2023
12.0,AC,1200393.0,Porto Walter,39.79,2024
12.0,AC,1200401.0,Rio Branco,,2023
12.0,AC,1200401.0,Rio Branco,55.64,2024
12.0,AC,1200427.0,Rodrigues Alves,,2023
12.0,AC,1200427.0,Rodrigues Alves,38.92,2024
12.0,AC,1200435.0,Santa Rosa do Purus,,2023
12.0,AC,1200435.0,Santa Rosa do Purus,15.62,2024
12.0,AC,1200450.0,Senador Guiomard,,2023
12.0,AC,1200450.0,Senador Guiomard,43.66,2024
12.0,AC,1200500.0,Sena Madureira,,2023
12.0,AC,1200500.0,Sena Madureira,64.83,2024
12.0,AC,1200609.0,Tarauacá,,2023
12.0,AC,1200609.0,Tarauacá,45.18,2024
12.0,AC,1200708.0,Xapuri,,2023
12.0,AC,1200708.0,Xapuri,51.91,2024
12.0,AC,1200807.0,Porto Acre,,2023
12.0,AC,1200807.0,Porto Acre,39.69,2024
13.0,AM,1300029.0,Alvarães,39.9,2023
