ano_avaliacao,codigo_uf,sigla_uf,codigo_municipio,nome_municipio,rede,pct_alfabetizados_2023,pct_alfabetizados_2024,variacao_2023_2024_pp,meta_2024,gap_meta_2024_pp,atingiu_meta_2024,meta_2025,meta_2026,meta_2027,meta_2028,meta_2029,meta_2030,nivel_alfabetizacao,pct_participacao,ranking_amostra_brasil_2024,ranking_amostra_uf_2024
2024.0,29.0,BA,2932705.0,Uruçuca,MUNICIPAL,30.0,26.42,-3.5799999999999983,37.1,-10.68,0,44.8,52.75,60.57,67.88,74.41,80.0,0,82.38341968911918,4844,312
2024.0,42.0,SC,4209854.0,Lindóia do Sul,MUNICIPAL,87.4,84.61,-2.7900000000000063,80.0,4.609999999999999,1,80.0,80.0,80.0,80.0,80.0,80.0,5,85.18518518518519,697,23
2024.0,17.0,TO,1720200.0,São Miguel do Tocantins,MUNICIPAL,27.0,36.9,9.899999999999999,34.18,2.719999999999999,1,42.19,50.63,59.04,66.95,74.0,80.0,0,88.23529411764706,4464,103
2024.0,31.0,MG,3105202.0,Bandeira,MUNICIPAL,62.7,77.5,14.799999999999997,65.57,11.930000000000007,1,68.31,70.92,73.41,75.75,77.95,80.0,4,100.0,1251,340
2024.0,43.0,RS,4307450.0,Esperança do Sul,MUNICIPAL,97.2,80.10000000000001,-17.099999999999994,80.0,0.10000000000000853,1,80.0,80.0,80.0,80.0,80.0,80.0,5,97.2222222222222,1026,22
2024.0,28.0,SE,2801603.0,Cedro de São João,MUNICIPAL,22.2,45.3,23.099999999999998,29.4,15.899999999999999,1,37.78,46.96,56.35,65.3,73.29,80.0,1,88.88888888888889,3974,15
2024.0,24.0,RN,2412559.0,São Miguel do Gostoso,MUNICIPAL,,30.54,,,,,38.85,47.86,57.01,65.71,73.46,80.0,0,75.0,4722,115
2024.0,21.0,MA,2107506.0,Paço do Lumiar,MUNICIPAL,50.7,55.55,4.849999999999994,55.54,0.00999999999999801,1,60.26,64.8,69.09,73.07,76.72,80.0,2,85.24229074889867,3219,135
2024.0,29.0,BA,2905008.0,Caculé,MUNICIPAL,51.8,47.96,-3.8399999999999963,56.48,-8.519999999999996,0,61.02,65.38,69.5,73.32,76.83,80.0,1,92.018779342723,3777,51
2024.0,42.0,SC,4208500.0,Ituporanga,MUNICIPAL,64.2,77.25,13.049999999999997,66.76,10.489999999999995,1,69.26,71.65,73.92,76.07,78.1,80.0,4,83.82352941176471,1282,62
2024.0,29.0,BA,2928950.0,São Domingos,MUNICIPAL,25.3,52.94,27.639999999999997,32.49,20.449999999999996,1,40.65,49.36,58.11,66.38,73.76,80.0,2,91.07142857142856,3425,28
2024.0,24.0,RN,2402501.0,Carnaubais,MUNICIPAL,27.4,42.31,14.910000000000004,34.58,7.730000000000004,1,42.55,50.93,59.25,67.08,74.06,80.0,1,79.36507936507937,4158,62
2024.0,29.0,BA,2921054.0,Matina,MUNICIPAL,41.7,42.52,0.8200000000000003,47.77,-5.25,0,53.91,59.93,65.67,70.98,75.77,80.0,1,96.21212121212122,4142,103
2024.0,31.0,MG,3122405.0,Divisa Nova,MUNICIPAL,64.3,67.64,3.3400000000000034,66.86,0.7800000000000011,1,69.33,71.7,73.96,76.1,78.11,80.0,3,92.6829268292683,2180,574
