ano_avaliacao,codigo_uf,sigla_uf,nome_uf,rede,pct_alfabetizados_2023,pct_alfabetizados_2024,variacao_2023_2024_pp,meta_2024,gap_meta_2024_pp,atingiu_meta_2024,meta_2025,meta_2026,meta_2027,meta_2028,meta_2029,meta_2030,pct_participacao,ranking_ufs_2024
,0.0,SIGLA_UF,NOME_UF,REDE,,,,,,,,,,,,,,
2024.0,,,Brasil,PÚBLICA,55.9,59.19727062879876,3.2972706287987634,59.9,-0.7027293712012366,0,63.77,67.47,70.97,74.23,77.24,,87.37,
2024.0,12.0,AC,Acre,PÚBLICA,,51.38,,,,,56.9,62.2,67.3,72.0,76.2,,80.86922165152114,17
2024.0,27.0,AL,Alagoas,PÚBLICA,43.88,48.63,4.75,49.7,-1.0700000000000003,0,55.5,61.1,66.5,71.5,76.0,,93.78396840010691,20
2024.0,13.0,AM,Amazonas,PÚBLICA,52.2,49.17,-3.030000000000001,56.8,-7.6299999999999955,0,61.3,65.6,69.6,73.4,76.9,,79.49477411227998,19
2024.0,16.0,AP,Amapá,PÚBLICA,41.56,46.62,5.059999999999995,47.6,-0.980000000000004,0,53.8,59.9,65.6,70.9,75.8,,89.14149443561207,22
2024.0,29.0,BA,Bahia,PÚBLICA,36.8,35.96,-0.8399999999999963,43.4,-7.439999999999998,0,50.2,57.1,63.6,69.8,75.2,,90.04421141883181,26
2024.0,23.0,CE,Ceará,PÚBLICA,84.5,85.31,0.8100000000000023,,,,,,,,,,98.12677388836327,1
2024.0,53.0,DF,Distrito Federal,PÚBLICA,,59.13,,,,,63.1,67.0,70.6,74.0,77.1,,79.83,12
2024.0,32.0,ES,Espírito Santo,PÚBLICA,67.93,71.69,3.759999999999991,69.9,1.789999999999992,1,71.8,73.6,75.3,76.9,78.5,,89.93651194080053,4
2024.0,52.0,GO,Goiás,PÚBLICA,66.7,72.74,6.039999999999992,68.9,3.839999999999989,1,71.0,73.0,74.9,76.7,78.4,,92.07873321930234,2
2024.0,21.0,MA,Maranhão,PÚBLICA,56.43,59.64,3.210000000000001,60.3,-0.6599999999999966,0,64.1,67.7,71.2,74.3,77.3,,90.89295250191232,11
2024.0,31.0,MG,Minas Gerais,PÚBLICA,59.81,72.07000000000001,12.260000000000005,63.2,8.870000000000005,1,66.4,69.5,72.4,75.1,77.6,,88.85306333095771,3
2024.0,50.0,MS,Mato Grosso do Sul,PÚBLICA,47.45,55.870000000000005,8.420000000000002,52.8,3.0700000000000074,1,58.0,63.1,67.9,72.3,76.4,,90.04331099228145,15
2024.0,51.0,MT,Mato Grosso,PÚBLICA,55.06,60.59,5.530000000000001,59.2,1.3900000000000006,1,63.2,67.0,70.7,74.0,77.2,,88.45874619837143,9
2024.0,15.0,PA,Pará,PÚBLICA,48.4,48.2,-0.19999999999999574,53.6,-5.399999999999999,0,58.7,63.6,68.2,72.5,76.5,,83.21281043398245,21
2024.0,25.0,PB,Paraíba,PÚBLICA,51.12,55.96,4.840000000000003,55.9,0.060000000000002274,1,60.5,65.0,69.2,73.2,76.8,,88.285543438025,14
2024.0,26.0,PE,Pernambuco,PÚBLICA,59.0,60.79,1.7899999999999991,62.4,-1.6099999999999994,0,65.8,69.0,72.1,74.9,77.6,,94.7548531607765,8
2024.0,22.0,PI,Piauí,PÚBLICA,52.48,59.82,7.340000000000003,57.0,2.8200000000000003,1,61.5,65.7,69.7,73.5,76.9,,95.09086473960238,10
2024.0,41.0,PR,Paraná,PÚBLICA,73.12,70.42,-2.700000000000003,74.2,-3.780000000000001,0,75.2,76.2,77.2,78.2,79.1,,86.24532104808523,5
2024.0,33.0,RJ,Rio de Janeiro,PÚBLICA,52.13,55.25,3.1199999999999974,56.7,-1.4500000000000028,0,61.2,65.5,69.6,73.4,76.9,,83.11619601878184,16
2024.0,24.0,RN,Rio Grande do Norte,PÚBLICA,37.24,39.29,2.049999999999997,43.8,-4.509999999999998,0,50.6,57.3,63.8,69.9,75.3,,77.7169291472499,24
2024.0,11.0,RO,Rondônia,PÚBLICA,64.6,62.620000000000005,-1.9799999999999898,67.1,-4.47999999999999,0,69.5,71.9,74.1,76.2,78.1,,88.33127535720585,6
2024.0,14.0,RR,Roraima,PÚBLICA,,,,,,,,,,,,,,
2024.0,43.0,RS,Rio Grande do Sul,PÚBLICA,63.4,44.67,-18.729999999999997,66.2,-21.53,0,68.8,71.3,73.7,75.9,78.0,,82.86102233470655,23
2024.0,42.0,SC,Santa Catarina,PÚBLICA,61.38,62.02,0.6400000000000006,64.5,-2.479999999999997,0,67.4,70.2,72.9,75.4,77.8,,70.05103956327181,7
2024.0,28.0,SE,Sergipe,PÚBLICA,31.3,38.39,7.09,38.3,0.09000000000000341,1,45.9,53.6,61.2,68.3,74.6,,92.83912483912484,25
2024.0,35.0,SP,São Paulo,PÚBLICA,51.91,58.13,6.220000000000006,56.6,1.5300000000000011,1,61.1,65.4,69.5,73.3,76.8,,89.11747476568132,13
2024.0,17.0,TO,Tocantins,PÚBLICA,43.72,50.07,6.350000000000001,49.5,0.5700000000000003,1,55.4,61.1,66.5,71.5,76.0,,85.14525761716773,18
,,,,,,,,,,,,,,,,,,
