coluna,nulos,nulos_pct,unicos,dtype
peso_aluno_lp,629,12.58,205,float64
pct_alfabetizados_2023,528,10.56,646,float64
meta_2024,528,10.56,1236,float64
ano_avaliacao,0,0.0,1,int64
codigo_municipio,0,0.0,1859,int64
sigla_uf,0,0.0,26,str
codigo_uf,0,0.0,26,int64
nome_municipio,0,0.0,1824,str
tipo_dependencia,0,0.0,2,int64
id_aluno,0,0.0,5000,int64
id_escola,0,0.0,4561,int64
tipo_serie,0,0.0,1,int64
codigo_caderno_lp,0,0.0,21,int64
preenchimento_lp,0,0.0,2,int64
presenca_lp,0,0.0,2,int64
alfabetizado_oficial,0,0.0,2,int64
risco_nao_alfabetizado,0,0.0,2,int64
numero_escolas,0,0.0,283,int64
pct_escolas_urbanas,0,0.0,862,float64
pct_escolas_rurais,0,0.0,862,float64
pct_escolas_federais,0,0.0,252,float64
pct_escolas_estaduais,0,0.0,700,float64
pct_escolas_municipais,0,0.0,822,float64
pct_escolas_privadas,0,0.0,730,float64
pct_escolas_internet,0,0.0,515,float64
pct_escolas_banda_larga,0,0.0,607,float64
pct_escolas_biblioteca,0,0.0,796,float64
pct_escolas_sala_leitura,0,0.0,745,float64
pct_escolas_biblioteca_ou_sala_leitura,0,0.0,827,float64
pct_escolas_lab_informatica,0,0.0,756,float64
pct_escolas_agua_potavel,0,0.0,392,float64
pct_escolas_agua_rede_publica,0,0.0,727,float64
pct_escolas_energia_rede_publica,0,0.0,272,float64
pct_escolas_esgoto_rede_publica,0,0.0,808,float64
pct_escolas_coleta_lixo,0,0.0,592,float64
pct_escolas_quadra_esportes,0,0.0,778,float64
pct_escolas_patio_coberto,0,0.0,816,float64
pct_escolas_patio_descoberto,0,0.0,821,float64
pct_escolas_refeitorio,0,0.0,833,float64
pct_escolas_auditorio,0,0.0,586,float64
media_salas_utilizadas,0,0.0,1395,float64
media_equip_multimidia,0,0.0,1299,float64
media_desktop_aluno,0,0.0,1494,float64
media_notebook_aluno,0,0.0,1414,float64
media_tablet_aluno,0,0.0,1152,float64
nome_municipio_ibge,0,0.0,1824,str
codigo_uf_ibge,0,0.0,26,int64
sigla_uf_ibge,0,0.0,26,str
nome_uf_ibge,0,0.0,26,str
codigo_regiao,0,0.0,5,int64
sigla_regiao,0,0.0,5,str
nome_regiao,0,0.0,5,str
codigo_regiao_imediata,0,0.0,474,int64
nome_regiao_imediata,0,0.0,472,str
codigo_regiao_intermediaria,0,0.0,131,int64
nome_regiao_intermediaria,0,0.0,131,str
codigo_microrregiao,0,0.0,515,float64
nome_microrregiao,0,0.0,511,str
codigo_mesorregiao,0,0.0,135,float64
nome_mesorregiao,0,0.0,135,str
populacao_2022,0,0.0,1839,int64
pop_rural_2022,0,0.0,1705,int64
pop_total_urbano_rural_2022,0,0.0,1839,int64
pop_urbana_2022,0,0.0,1826,int64
pct_urbana_2022,0,0.0,1832,float64
pct_rural_2022,0,0.0,1832,float64
pib_2022_mil_reais,0,0.0,1859,int64
pib_per_capita_2022,0,0.0,1859,float64
