coluna,status,motivo,dtype_original,nulos,nulos_pct,unicos
ano_avaliacao,excluida,Constante na amostra; não adiciona informação preditiva.,int64,0,0.0,1
codigo_uf,excluida,Código identificador; sigla_uf representa a UF de forma categórica.,int64,0,0.0,26
sigla_uf,feature,Selecionada para modelagem.,str,0,0.0,26
codigo_municipio,auditoria/grupo,Identificador territorial; usado apenas para auditoria/agregação.,int64,0,0.0,1859
nome_municipio,auditoria/grupo,Alta cardinalidade; risco de memorizar municípios.,str,0,0.0,1824
id_aluno,auditoria/grupo,Identificador; usado apenas para auditoria.,int64,0,0.0,5000
id_escola,auditoria/grupo,Identificador; usado apenas como grupo no split.,int64,0,0.0,4561
tipo_serie,excluida,Constante na amostra; não adiciona informação preditiva.,int64,0,0.0,1
tipo_dependencia,feature,Selecionada para modelagem.,int64,0,0.0,2
presenca_lp,excluida,Observada no momento da prova; não disponível em cenário preventivo.,int64,0,0.0,2
preenchimento_lp,excluida,Observada no momento da prova; não disponível em cenário preventivo.,int64,0,0.0,2
codigo_caderno_lp,excluida,Característica operacional da prova; não é fator explicativo estrutural.,int64,0,0.0,21
peso_aluno_lp,excluida,Peso amostral/estatístico; não é característica preditiva do aluno.,float64,629,12.58,205
alfabetizado_oficial,auditoria/grupo,Target original; mantido apenas para auditoria.,int64,0,0.0,2
risco_nao_alfabetizado,target,Target do modelo: 1 = risco de não alfabetização.,int64,0,0.0,2
pct_alfabetizados_2023,feature,Selecionada para modelagem.,float64,528,10.56,646
meta_2024,feature,Selecionada para modelagem.,float64,528,10.56,1236
numero_escolas,feature,Selecionada para modelagem.,int64,0,0.0,283
pct_escolas_urbanas,feature,Selecionada para modelagem.,float64,0,0.0,862
pct_escolas_rurais,excluida,Redundante com pct_escolas_urbanas (somam aproximadamente 100%).,float64,0,0.0,862
pct_escolas_federais,excluida,Retirada para evitar dependência linear entre categorias administrativas.,float64,0,0.0,252
pct_escolas_estaduais,feature,Selecionada para modelagem.,float64,0,0.0,700
pct_escolas_municipais,feature,Selecionada para modelagem.,float64,0,0.0,822
pct_escolas_privadas,feature,Selecionada para modelagem.,float64,0,0.0,730
pct_escolas_internet,feature,Selecionada para modelagem.,float64,0,0.0,515
pct_escolas_banda_larga,feature,Selecionada para modelagem.,float64,0,0.0,607
pct_escolas_biblioteca,excluida,Sobreposição com indicador combinado biblioteca/sala de leitura.,float64,0,0.0,796
pct_escolas_sala_leitura,excluida,Sobreposição com indicador combinado biblioteca/sala de leitura.,float64,0,0.0,745
pct_escolas_biblioteca_ou_sala_leitura,feature,Selecionada para modelagem.,float64,0,0.0,827
pct_escolas_lab_informatica,feature,Selecionada para modelagem.,float64,0,0.0,756
pct_escolas_agua_potavel,feature,Selecionada para modelagem.,float64,0,0.0,392
pct_escolas_agua_rede_publica,feature,Selecionada para modelagem.,float64,0,0.0,727
pct_escolas_energia_rede_publica,feature,Selecionada para modelagem.,float64,0,0.0,272
pct_escolas_esgoto_rede_publica,feature,Selecionada para modelagem.,float64,0,0.0,808
pct_escolas_coleta_lixo,feature,Selecionada para modelagem.,float64,0,0.0,592
pct_escolas_quadra_esportes,feature,Selecionada para modelagem.,float64,0,0.0,778
pct_escolas_patio_coberto,feature,Selecionada para modelagem.,float64,0,0.0,816
pct_escolas_patio_descoberto,feature,Selecionada para modelagem.,float64,0,0.0,821
pct_escolas_refeitorio,feature,Selecionada para modelagem.,float64,0,0.0,833
pct_escolas_auditorio,feature,Selecionada para modelagem.,float64,0,0.0,586
media_salas_utilizadas,feature,Selecionada para modelagem.,float64,0,0.0,1395
media_equip_multimidia,feature,Selecionada para modelagem.,float64,0,0.0,1299
media_desktop_aluno,feature,Selecionada para modelagem.,float64,0,0.0,1494
media_notebook_aluno,feature,Selecionada para modelagem.,float64,0,0.0,1414
media_tablet_aluno,feature,Selecionada para modelagem.,float64,0,0.0,1152
nome_municipio_ibge,excluida,Duplicata/alta cardinalidade; não usada no modelo.,str,0,0.0,1824
codigo_uf_ibge,excluida,Duplicata do contexto de UF.,int64,0,0.0,26
sigla_uf_ibge,excluida,Duplicata de sigla_uf.,str,0,0.0,26
nome_uf_ibge,excluida,Duplicata de sigla_uf.,str,0,0.0,26
codigo_regiao,excluida,Código territorial; não usado como variável numérica.,int64,0,0.0,5
sigla_regiao,excluida,Derivável da UF; removida para reduzir redundância.,str,0,0.0,5
nome_regiao,excluida,Derivável da UF; removida para reduzir redundância.,str,0,0.0,5
codigo_regiao_imediata,excluida,Alta cardinalidade e código identificador.,int64,0,0.0,474
nome_regiao_imediata,excluida,Alta cardinalidade; risco de overfitting.,str,0,0.0,472
codigo_regiao_intermediaria,excluida,Código identificador territorial.,int64,0,0.0,131
nome_regiao_intermediaria,excluida,Alta cardinalidade; removida por parcimônia.,str,0,0.0,131
codigo_microrregiao,excluida,Código identificador territorial.,float64,0,0.0,515
nome_microrregiao,excluida,Alta cardinalidade; risco de overfitting.,str,0,0.0,511
codigo_mesorregiao,excluida,Código identificador territorial.,float64,0,0.0,135
nome_mesorregiao,excluida,Alta cardinalidade; removida por parcimônia.,str,0,0.0,135
populacao_2022,feature,Selecionada para modelagem.,int64,0,0.0,1839
pop_rural_2022,excluida,Redundante com população total e percentual urbano.,int64,0,0.0,1705
pop_total_urbano_rural_2022,excluida,Redundante com populacao_2022.,int64,0,0.0,1839
pop_urbana_2022,excluida,Redundante com população total e percentual urbano.,int64,0,0.0,1826
pct_urbana_2022,feature,Selecionada para modelagem.,float64,0,0.0,1832
pct_rural_2022,excluida,Redundante com pct_urbana_2022 (somam aproximadamente 100%).,float64,0,0.0,1832
pib_2022_mil_reais,excluida,Redundante com população e PIB per capita.,int64,0,0.0,1859
pib_per_capita_2022,feature,Selecionada para modelagem.,float64,0,0.0,1859
