feature_transformada,mean_abs_shap,feature_original
num__pct_alfabetizados_2023,0.42705287180676343,pct_alfabetizados_2023
num__tipo_dependencia,0.13039124544805686,tipo_dependencia
num__pct_escolas_lab_informatica,0.12096795808534819,pct_escolas_lab_informatica
cat__sigla_uf_MG,0.10843728266035813,sigla_uf
num__meta_2024,0.09849487337368554,meta_2024
num__pct_escolas_coleta_lixo,0.09645315019010127,pct_escolas_coleta_lixo
num__media_salas_utilizadas,0.08479939487701484,media_salas_utilizadas
cat__sigla_uf_SP,0.08379407886503021,sigla_uf
num__pct_escolas_urbanas,0.07757560662175911,pct_escolas_urbanas
num__populacao_2022,0.07344814571534881,populacao_2022
cat__sigla_uf_SC,0.07158301857301366,sigla_uf
num__pct_urbana_2022,0.06948512589423346,pct_urbana_2022
num__pct_escolas_refeitorio,0.06761852860968075,pct_escolas_refeitorio
cat__sigla_uf_BA,0.06703756294548553,sigla_uf
cat__sigla_uf_CE,0.06584310646246201,sigla_uf
num__pct_escolas_biblioteca_ou_sala_leitura,0.06499206948329676,pct_escolas_biblioteca_ou_sala_leitura
cat__sigla_uf_RS,0.06089267281697152,sigla_uf
num__pct_escolas_estaduais,0.05778582967547305,pct_escolas_estaduais
num__pct_escolas_privadas,0.05655345229310472,pct_escolas_privadas
num__pct_escolas_auditorio,0.053089228280902415,pct_escolas_auditorio
num__numero_escolas,0.03457183123096777,numero_escolas
num__pct_escolas_agua_rede_publica,0.02979638145911858,pct_escolas_agua_rede_publica
cat__sigla_uf_PE,0.027466201927332765,sigla_uf
num__pct_escolas_quadra_esportes,0.024518534502807988,pct_escolas_quadra_esportes
cat__sigla_uf_MS,0.024364853025693634,sigla_uf
cat__sigla_uf_PR,0.02153800812192209,sigla_uf
num__pct_escolas_patio_coberto,0.021230007439136195,pct_escolas_patio_coberto
cat__sigla_uf_RJ,0.01576615583234595,sigla_uf
cat__sigla_uf_AC,0.01551870116891567,sigla_uf
cat__sigla_uf_MA,0.0150674738699193,sigla_uf
cat__sigla_uf_PA,0.011069558140437792,sigla_uf
num__pct_escolas_municipais,0.00988427008638488,pct_escolas_municipais
num__pct_escolas_esgoto_rede_publica,0.008554074907999231,pct_escolas_esgoto_rede_publica
cat__sigla_uf_AM,0.008403776646179525,sigla_uf
cat__sigla_uf_PI,0.00710060808819744,sigla_uf
num__pct_escolas_banda_larga,0.005639087994489558,pct_escolas_banda_larga
num__pct_escolas_internet,0.005476282382797089,pct_escolas_internet
cat__sigla_uf_GO,0.005235192447383653,sigla_uf
num__media_desktop_aluno,0.00489380529652804,media_desktop_aluno
cat__sigla_uf_AP,0.004625072920615224,sigla_uf
num__pct_escolas_energia_rede_publica,0.0034990521960098463,pct_escolas_energia_rede_publica
num__pct_escolas_patio_descoberto,0.0032233918462482923,pct_escolas_patio_descoberto
num__pct_escolas_agua_potavel,0.002862184199997893,pct_escolas_agua_potavel
cat__sigla_uf_MT,0.002850215212512037,sigla_uf
num__media_tablet_aluno,0.002735510918053182,media_tablet_aluno
cat__sigla_uf_DF,0.0024339322672760483,sigla_uf
cat__sigla_uf_RN,0.0020143643844449566,sigla_uf
cat__sigla_uf_RO,0.001477388227919533,sigla_uf
cat__sigla_uf_SE,0.0011638147127776889,sigla_uf
cat__sigla_uf_ES,0.0010865926110010294,sigla_uf
cat__sigla_uf_PB,0.001007572984756592,sigla_uf
cat__sigla_uf_AL,0.0008003638787292895,sigla_uf
num__media_equip_multimidia,0.0005566657402440099,media_equip_multimidia
num__pib_per_capita_2022,0.0005239787482082596,pib_per_capita_2022
num__media_notebook_aluno,0.00024915699025891095,media_notebook_aluno
cat__sigla_uf_TO,0.0,sigla_uf
